AuthorID,Author,Date_original,Date,Content,Attachments,Reactions,,,
7.96148E+17,charliecavecc,2022/11/20 上午12:44,2022/11/20,Hi,,,,,
9.0685E+17,istreams,2022/11/20 上午8:49,2022/11/20,Heyyy I'm interested in building a Dao but don't know where to start.,,,,,
8.07644E+17,shawnzywonzie,2022/11/20 上午9:53,2022/11/20,"Nice, well you came to the right place 🙂 What kind of DAO are you starting?",,,,,
8.07644E+17,shawnzywonzie,2022/11/20 上午9:53,2022/11/20,"Hey @Charlie Cave ""CC"" How goes it?",,,,,
9.0685E+17,istreams,2022/11/20 上午9:58,2022/11/20,What you mean? I see the Dao as a social justice Dao similar to the  assange Dao but I want it on the Aragon platform,,,,,
8.07644E+17,shawnzywonzie,2022/11/20 上午10:01,2022/11/20,"Gotcha, that should be totally possible. Have you started growing a community?",,,,,
9.0685E+17,istreams,2022/11/20 上午10:02,2022/11/20,Not yet I don't know where  to start.,,,,,
9.28679E+17,incandenza1594,2022/11/21 上午2:35,2022/11/21,"Hey @infinitystreams!We have a very detailed guide on how to build a Community, take a look! https://aragon.org/how-to/how-to-build-manage-and-grow-your-dao-community",,🔥 (5),,,
8.07644E+17,shawnzywonzie,2022/11/21 下午1:09,2022/11/21,"Yup, Thanks @Incandenza || UTC+1! 

@infinitystreams 
I would begin with making sure that you've planned out the idea for your DAO meticulously and ensure the actual day to day operations are running smoothly and you have ""gotten the ball rolling"" so to say. 

Once youve done that you will have something to start creating a community around. Then, once youve started gaining traction with your community, i would create the DAO. 

Theres no need to create a DAO (spending the money on gas, learning the App, etc.) Until these other things are in place. 

I was speaking with another community manager and we agreed that one of the biggest challenges people face when starting a DAO is skipping steps. They will start a DAO before they have people to actually participate in that DAO and then wonder why its not gaining traction. Definitely dont want this happening to you!",,🔥 (3),,,
8.05982E+17,Cdogg#1999,2022/11/22 下午5:57,2022/11/22,"Hey @Rick | Aragon @AClay, I would like to introduce you to a few members from the Hourglass team @[sunbreather] & @G-Yes95. They dropped in on the Community Welcome Call earlier today looking for some support in becoming a DAO and potentially building some extensions to plug into the new Aragon App, testing this on the new testnet first. To summarize, they are a DeFi protocol that allows for DAOs to monetize and borrow against their native tokens. Feel free to connect them with anyone else within Aragon that can help!",,🔥 (2),,,
9.13108E+17,sunbreather_,2022/11/22 下午5:58,2022/11/22,Thank you 😊,,AragonProject1 (3),,,
4.85039E+17,ricktik6,2022/11/23 上午2:56,2022/11/23,Started a thread.,,,,,
9.42798E+17,amnonma,2022/11/27 上午10:57,2022/11/27,"Hi, I am looking at the  documentations for the client apps and they mention they work in various networks but not Goerli. Is Goerli considered Mainnet?",,,,,
9.42798E+17,amnonma,2022/11/27 上午11:29,2022/11/27,I hope this is the right place to fire out questions... I am trying to familiarize myself with Aragon DAOs...,,,,,
9.42798E+17,amnonma,2022/11/27 上午11:31,2022/11/27,"So, I built a DAO from the company template. I can see the apps installed on the left side of the client. Now I opened the client on a different computer and logged in to the same DAO. Now all the apps disappeared and there is only the ""Home"" app. What is going on?",,,,,
8.71717E+17,aleuts,2022/11/27 下午2:04,2022/11/27,"Hey friend if you are looking for more support, go here! 🙂 #🏗︱dtech-general",,,,,
9.42798E+17,amnonma,2022/11/28 上午1:42,2022/11/28,Thank you! Will do😀,,,,,
9.28679E+17,incandenza1594,2022/11/28 上午2:43,2022/11/28,"Hey @Devs and @DAO Builderss, for those who missed it, here you can find the recording of the first episode of the **Aragon's product Behind the Scenes series**. I was impressed while listening to our lead engineer talking about the features of the new app, and I bet you will be too! Spoiler alert: it's going to be a game changer 😉

Recording: https://twitter.com/AragonProject/status/1596164096948404230?s=20&t=6aBjVrXBtsEeBF_VmxSjQw

To apply for early access: https://aragon.org/aragon-app",,"memes (3),🙏 (3)",,,
9.0685E+17,istreams,2022/11/29 上午11:37,2022/11/29,Thanks I will check it out,,,,,
9.0685E+17,istreams,2022/11/29 上午11:40,2022/11/29,"If I could get a mod in my discord to organize my server in the way  it needs to be done , I believe can gather a command grow it",,,,,
9.0685E+17,istreams,2022/11/29 上午11:40,2022/11/29,I need help with part first,,,,,
7.35978E+17,tnorm,2022/11/29 下午12:50,2022/11/29,Is there an API for DAO Voting data? Trying to pull on-chain voter data/history for Lido DAO,,,,,
8.07644E+17,shawnzywonzie,2022/11/30 上午5:23,2022/11/30,@deleted-role Team. Do we have this available?,,,,,
2.5432E+17,fabsmartins,2022/11/30 上午5:25,2022/11/30,"As far as I understand, the votes are on Vocdoni chain and there used to be an API but right the API is not functioning. So right now the only way to pull voting data is manually.",,,,,
3.62186E+17,capitulation.eth,2022/11/30 上午5:40,2022/11/30,"AFAIK Lido is using a fork of the aragonOS contracts, nothing to do with Vochain. Potentially look for their instance and look at main net interactions",,,,,
8.92333E+17,smartmonie,2022/12/2 上午6:55,2022/12/2 ,hello,,,,,
8.92333E+17,smartmonie,2022/12/2 上午6:57,2022/12/2 ,i run a cooperative in Nigeria ...i like to develop it into a Dao,,,,,
8.92333E+17,smartmonie,2022/12/2 上午6:58,2022/12/2 ,do i need to be a blockchain dev in other to execute?,,,,,
8.92333E+17,smartmonie,2022/12/2 上午7:00,2022/12/2 ,im not a dev ..i need help:Soft: :Sweat:,,,,,
8.07644E+17,shawnzywonzie,2022/12/2 上午8:03,2022/12/2 ,"Not at all. You can easily create the operating system for your dao using aragon with little dev experience. We also have multiple support systems in place to help you as well. 

However I would recommend waiting until we release our new version of the app early next year. It is even easier to use than the current version. :memes:",,,,,
8.92333E+17,smartmonie,2022/12/2 上午9:32,2022/12/2 ,"I will appreciate any help I can get 
The DAO project is a very direct Defi solution ..

I like to start creating the DAO project ..ASAP
I can easily learn n assimilate as I make  progress with your support",,,,,
1.04907E+18,Dutchrevolution#0864,2022/12/4 下午4:16,2022/12/4 ,I have a transport (dispatching) company/software i would like to decentralize with a DAO but I’m a noob. Please contact my by email vanrossummarnix@gmail.com,,,,,
8.72559E+17,dicethedev,2022/12/4 下午10:36,2022/12/4 ,Cool,,,,,
9.28679E+17,incandenza1594,2022/12/5 上午4:48,2022/12/5 ,"Hey @SmartMonie, you're in the right place! I recommend you to join our Community Welcome Call tomorrow at 16:30 UTC, you'll get an overview of our present and upcoming tools for DAO builders and you'll have plenty of room to ask whatever questions you might have. You can RSVP here to get a reminder: https://discord.com/channels/672466989217873929/917811689225855036/1047202790008696872",,,,,
7.148E+17,raaaaaj,2022/12/6 下午4:21,2022/12/6 ,Hi there! I'm part of the Harmony One Community DAO and we were looking at tools the Aragon platform had that we could use. We were a little confused on what Aragon has to offer and we were hoping we could have an AMA twitter space with someone from Aragon to answer questions. Our spaces are on Wednesdays @2pm PT (10pm UTC). Would this be possible?,,,,,
8.07644E+17,shawnzywonzie,2022/12/6 下午5:25,2022/12/6 ,Started a thread.,,,,,
9.0074E+17,aslanas,2022/12/7 上午11:37,2022/12/7 ,"I'm building a protocol where participants are minted an NFT when they stake tokens, and I'd like them to be able to use their NFT to vote on governance proposals. Where each NFT will have a different voting weight assigned to it based on how many tokens they staked, how long they staked them, and some other factors. 

Does anyone know if I can customize an Aragon DAO to support voting in this way?",,,,,
8.07644E+17,shawnzywonzie,2022/12/7 下午12:35,2022/12/7 ,Started a thread.,,,,,
7.81101E+17,fad#7144,2022/12/8 上午8:52,2022/12/8 ,"Hey everyone 👋🏾 , I'm helping build an on-chain custody solution for organisations like DAOs -- we use intelligent key management and verifiable smart contracts to offer a seamless and easy to use fully self-custodial experience across multiple chains with detailed and tiered access controls enforced on-chain coupled with other features such as web3 access. We're really looking to lower the barrier for safe self-custody for organisations.

I'm looking to learn more about how DAO's, of all sizes, approach safely storing their digital assets and managing their treasuries. And what does an ideal solution for them look like.

Any assistance means a lot, if you're willing to chat feel free to shoot me a dm or reply here and happy to take it from there.",,🔥 (1),,,
9.96987E+17,muchomonero,2022/12/8 下午1:10,2022/12/8 ,As a DAO builder with no team currently and no coding experience. What is the benefits of using Aragon over juice box to create an ERC-1155 token? My primary goal for the first round of funding would be to build up a treasury and for hiring a core team.,,,,,
