Date,Discord Volume
2022-11-20,7
2022-11-21,2
2022-11-22,2
2022-11-23,1
2022-11-24,0
2022-11-25,0
2022-11-26,0
2022-11-27,4
2022-11-28,2
2022-11-29,4
2022-11-30,3
2022-12-01,0
2022-12-02,6
2022-12-03,0
2022-12-04,2
2022-12-05,1
2022-12-06,2
2022-12-07,2
2022-12-08,2
2022-12-09,1
2022-12-10,0
2022-12-11,0
2022-12-12,3
2022-12-13,1
2022-12-14,0
2022-12-15,1
2022-12-16,1
2022-12-17,0
2022-12-18,1
2022-12-19,0
2022-12-20,0
2022-12-21,9
2022-12-22,0
2022-12-23,0
2022-12-24,0
2022-12-25,1
2022-12-26,0
2022-12-27,0
2022-12-28,0
2022-12-29,3
2022-12-30,4
2022-12-31,1
2023-01-01,0
2023-01-02,2
2023-01-03,0
2023-01-04,4
2023-01-05,0
2023-01-06,1
2023-01-07,0
2023-01-08,1
2023-01-09,1
2023-01-10,1
2023-01-11,1
2023-01-12,0
2023-01-13,0
2023-01-14,0
2023-01-15,0
2023-01-16,0
2023-01-17,0
2023-01-18,3
2023-01-19,0
2023-01-20,0
2023-01-21,0
2023-01-22,0
2023-01-23,8
2023-01-24,0
2023-01-25,15
2023-01-26,2
2023-01-27,2
2023-01-28,0
2023-01-29,0
2023-01-30,0
2023-01-31,1
2023-02-01,1
2023-02-02,1
2023-02-03,3
2023-02-04,2
2023-02-05,1
2023-02-06,0
2023-02-07,0
2023-02-08,0
2023-02-09,0
2023-02-10,0
2023-02-11,0
2023-02-12,2
2023-02-13,2
2023-02-14,3
2023-02-15,1
2023-02-16,7
2023-02-17,1
2023-02-18,1
2023-02-19,0
2023-02-20,2
2023-02-21,4
2023-02-22,2
2023-02-23,1
2023-02-24,1
2023-02-25,0
2023-02-26,1
2023-02-27,2
2023-02-28,1
2023-03-01,2
2023-03-02,0
2023-03-03,2
2023-03-04,0
2023-03-05,2
2023-03-06,0
2023-03-07,0
2023-03-08,0
2023-03-09,0
2023-03-10,0
2023-03-11,2
2023-03-12,0
2023-03-13,0
2023-03-14,8
2023-03-15,9
2023-03-16,0
2023-03-17,2
2023-03-18,0
2023-03-19,0
2023-03-20,5
2023-03-21,0
2023-03-22,1
2023-03-23,2
2023-03-24,12
2023-03-25,12
2023-03-26,4
2023-03-27,7
2023-03-28,0
2023-03-29,10
2023-03-30,2
2023-03-31,0
2023-04-01,0
2023-04-02,0
2023-04-03,0
2023-04-04,2
2023-04-05,8
2023-04-06,1
2023-04-07,0
2023-04-08,0
2023-04-09,0
2023-04-10,2
2023-04-11,2
2023-04-12,1
2023-04-13,2
2023-04-14,2
2023-04-15,7
2023-04-16,0
2023-04-17,0
2023-04-18,2
2023-04-19,0
2023-04-20,2
2023-04-21,6
2023-04-22,6
2023-04-23,6
2023-04-24,7
2023-04-25,4
2023-04-26,0
2023-04-27,1
2023-04-28,1
2023-04-29,0
2023-04-30,0
2023-05-01,1
2023-05-02,0
2023-05-03,2
2023-05-04,0
2023-05-05,6
2023-05-06,0
2023-05-07,0
2023-05-08,14
2023-05-09,28
2023-05-10,17
2023-05-11,1
2023-05-12,5
2023-05-13,2
2023-05-14,15
2023-05-15,10
2023-05-16,3
2023-05-17,0
2023-05-18,5
2023-05-19,0
2023-05-20,0
2023-05-21,0
2023-05-22,3
2023-05-23,8
2023-05-24,3
2023-05-25,6
2023-05-26,29
2023-05-27,5
2023-05-28,16
2023-05-29,3
2023-05-30,1
2023-05-31,2
2023-06-01,0
2023-06-02,2
2023-06-03,0
2023-06-04,4
2023-06-05,3
2023-06-06,0
2023-06-07,4
2023-06-08,0
2023-06-09,2
2023-06-10,0
2023-06-11,0
2023-06-12,10
2023-06-13,3
2023-06-14,1
2023-06-15,3
2023-06-16,5
2023-06-17,0
2023-06-18,1
2023-06-19,0
2023-06-20,16
2023-06-21,2
2023-06-22,4
2023-06-23,31
2023-06-24,0
2023-06-25,1
2023-06-26,4
2023-06-27,1
2023-06-28,0
2023-06-29,0
2023-06-30,4
2023-07-01,1
2023-07-02,0
2023-07-03,2
2023-07-04,3
2023-07-05,1
2023-07-06,2
2023-07-07,8
2023-07-08,0
2023-07-09,0
2023-07-10,7
2023-07-11,0
2023-07-12,0
2023-07-13,2
2023-07-14,2
2023-07-15,0
2023-07-16,2
2023-07-17,8
2023-07-18,0
2023-07-19,2
2023-07-20,0
2023-07-21,14
2023-07-22,6
2023-07-23,0
2023-07-24,0
2023-07-25,2
2023-07-26,9
2023-07-27,0
2023-07-28,1
2023-07-29,0
2023-07-30,0
2023-07-31,0
2023-08-01,2
2023-08-02,5
2023-08-03,3
2023-08-04,1
2023-08-05,0
2023-08-06,0
2023-08-07,1
2023-08-08,1
2023-08-09,0
2023-08-10,4
2023-08-11,3
2023-08-12,1
2023-08-13,0
2023-08-14,8
2023-08-15,11
