Date,Discord Volume
2019-11-29,1
2019-11-30,0
2019-12-01,0
2019-12-02,0
2019-12-03,0
2019-12-04,0
2019-12-05,2
2019-12-06,0
2019-12-07,0
2019-12-08,0
2019-12-09,1
2019-12-10,0
2019-12-11,0
2019-12-12,0
2019-12-13,0
2019-12-14,1
2019-12-15,1
2019-12-16,2
2019-12-17,0
2019-12-18,0
2019-12-19,0
2019-12-20,1
2019-12-21,0
2019-12-22,0
2019-12-23,0
2019-12-24,0
2019-12-25,0
2019-12-26,0
2019-12-27,0
2019-12-28,0
2019-12-29,0
2019-12-30,0
2019-12-31,0
2020-01-01,0
2020-01-02,0
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,6
2020-01-21,6
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,2
2020-02-08,0
2020-02-09,1
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,17
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,1
2020-02-22,0
2020-02-23,0
2020-02-24,2
2020-02-25,0
2020-02-26,0
2020-02-27,8
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,3
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,6
2020-03-11,1
2020-03-12,3
2020-03-13,5
2020-03-14,0
2020-03-15,0
2020-03-16,7
2020-03-17,0
2020-03-18,7
2020-03-19,0
2020-03-20,6
2020-03-21,0
2020-03-22,0
2020-03-23,1
2020-03-24,10
2020-03-25,3
2020-03-26,5
2020-03-27,0
2020-03-28,2
2020-03-29,0
2020-03-30,0
2020-03-31,14
2020-04-01,76
2020-04-02,44
2020-04-03,46
2020-04-04,11
2020-04-05,14
2020-04-06,28
2020-04-07,27
2020-04-08,11
2020-04-09,9
2020-04-10,10
2020-04-11,5
2020-04-12,4
2020-04-13,11
2020-04-14,14
2020-04-15,4
2020-04-16,12
2020-04-17,14
2020-04-18,16
2020-04-19,0
2020-04-20,19
2020-04-21,5
2020-04-22,18
2020-04-23,48
2020-04-24,2
2020-04-25,33
2020-04-26,14
2020-04-27,7
2020-04-28,11
2020-04-29,5
2020-04-30,48
2020-05-01,1
2020-05-02,10
2020-05-03,5
2020-05-04,15
2020-05-05,0
2020-05-06,15
2020-05-07,10
2020-05-08,9
2020-05-09,8
2020-05-10,0
2020-05-11,0
2020-05-12,0
2020-05-13,0
2020-05-14,0
2020-05-15,8
2020-05-16,19
2020-05-17,22
2020-05-18,0
2020-05-19,14
2020-05-20,10
2020-05-21,0
2020-05-22,0
2020-05-23,3
2020-05-24,4
2020-05-25,8
2020-05-26,3
2020-05-27,0
2020-05-28,3
2020-05-29,11
2020-05-30,13
2020-05-31,64
2020-06-01,37
2020-06-02,18
2020-06-03,50
2020-06-04,75
2020-06-05,53
2020-06-06,96
2020-06-07,34
2020-06-08,55
2020-06-09,81
2020-06-10,37
2020-06-11,46
2020-06-12,14
2020-06-13,5
2020-06-14,23
2020-06-15,42
2020-06-16,54
2020-06-17,18
2020-06-18,42
2020-06-19,135
2020-06-20,22
2020-06-21,78
2020-06-22,119
2020-06-23,491
2020-06-24,660
2020-06-25,405
2020-06-26,211
2020-06-27,264
2020-06-28,1090
2020-06-29,969
2020-06-30,149
2020-07-01,121
2020-07-02,72
2020-07-03,64
2020-07-04,70
2020-07-05,72
2020-07-06,98
2020-07-07,112
2020-07-08,103
2020-07-09,62
2020-07-10,86
2020-07-11,116
2020-07-12,55
2020-07-13,75
2020-07-14,75
2020-07-15,38
2020-07-16,12
2020-07-17,34
2020-07-18,71
2020-07-19,216
2020-07-20,139
2020-07-21,91
2020-07-22,106
2020-07-23,160
2020-07-24,56
2020-07-25,88
2020-07-26,102
2020-07-27,90
2020-07-28,73
2020-07-29,385
2020-07-30,75
2020-07-31,97
2020-08-01,39
2020-08-02,77
2020-08-03,63
2020-08-04,100
2020-08-05,136
2020-08-06,134
2020-08-07,59
2020-08-08,89
2020-08-09,110
2020-08-10,51
2020-08-11,105
2020-08-12,73
2020-08-13,65
2020-08-14,24
2020-08-15,80
2020-08-16,44
2020-08-17,132
2020-08-18,27
2020-08-19,161
2020-08-20,29
2020-08-21,58
2020-08-22,106
2020-08-23,111
2020-08-24,124
2020-08-25,123
2020-08-26,52
2020-08-27,35
2020-08-28,85
2020-08-29,111
2020-08-30,36
2020-08-31,66
2020-09-01,143
2020-09-02,230
2020-09-03,245
2020-09-04,18
2020-09-05,33
