Date,Discord Volume
2022-02-14,270
2022-02-15,6
2022-02-16,506
2022-02-17,18
2022-02-18,1743
2022-02-19,98
2022-02-20,2
2022-02-21,9
2022-02-22,1264
2022-02-23,1623
2022-02-24,3909
2022-02-25,21
2022-02-26,3266
2022-02-27,8
2022-02-28,9
2022-03-01,26
2022-03-02,3825
2022-03-03,20
2022-03-04,7
2022-03-05,552
2022-03-06,809
2022-03-07,23
2022-03-08,49
2022-03-09,24
2022-03-10,127
2022-03-11,1504
2022-03-12,33
2022-03-13,13
2022-03-14,36
2022-03-15,17
2022-03-16,30
2022-03-17,37
2022-03-18,4
2022-03-19,11
2022-03-20,4
2022-03-21,4
2022-03-22,7
2022-03-23,13
2022-03-24,6
2022-03-25,9
2022-03-26,3
2022-03-27,0
2022-03-28,29
2022-03-29,5
2022-03-30,11
2022-03-31,28
2022-04-01,701
2022-04-02,11
2022-04-03,29
2022-04-04,32
2022-04-05,3
2022-04-06,19
2022-04-07,8
2022-04-08,10
2022-04-09,6
2022-04-10,4
2022-04-11,8
2022-04-12,7
2022-04-13,11
2022-04-14,12
2022-04-15,4
2022-04-16,0
2022-04-17,3
2022-04-18,3
2022-04-19,8
2022-04-20,4
2022-04-21,12
2022-04-22,8
2022-04-23,27
2022-04-24,10
2022-04-25,4
2022-04-26,20
2022-04-27,12
2022-04-28,10
2022-04-29,4
2022-04-30,2
2022-05-01,8
2022-05-02,3
2022-05-03,0
2022-05-04,2
2022-05-05,116
2022-05-06,11
2022-05-07,11
2022-05-08,0
2022-05-09,5
2022-05-10,3
2022-05-11,10
2022-05-12,14
2022-05-13,14
2022-05-14,2
2022-05-15,2
2022-05-16,5
2022-05-17,1
2022-05-18,4
2022-05-19,0
2022-05-20,8
2022-05-21,2
2022-05-22,9
2022-05-23,2
2022-05-24,12
2022-05-25,6
2022-05-26,1
2022-05-27,0
2022-05-28,5
2022-05-29,0
2022-05-30,6
2022-05-31,4
2022-06-01,1
2022-06-02,4
2022-06-03,15
2022-06-04,8
2022-06-05,2
2022-06-06,35
2022-06-07,154
2022-06-08,16
2022-06-09,11
2022-06-10,7
2022-06-11,10
2022-06-12,33
2022-06-13,26
2022-06-14,36
2022-06-15,14
2022-06-16,4
2022-06-17,10
2022-06-18,1
2022-06-19,6
2022-06-20,6
2022-06-21,5
2022-06-22,3
2022-06-23,3
2022-06-24,8
2022-06-25,16
2022-06-26,2
2022-06-27,16
2022-06-28,9
2022-06-29,8
2022-06-30,5
2022-07-01,43
2022-07-02,8
2022-07-03,42
2022-07-04,15
2022-07-05,9
2022-07-06,9
2022-07-07,9
2022-07-08,4
2022-07-09,4
2022-07-10,1
2022-07-11,15
2022-07-12,4
2022-07-13,7
2022-07-14,24
2022-07-15,13
2022-07-16,15
2022-07-17,14
2022-07-18,77
2022-07-19,14
2022-07-20,20
2022-07-21,2
2022-07-22,7
2022-07-23,13
2022-07-24,35
2022-07-25,163
2022-07-26,45
2022-07-27,35
2022-07-28,17
2022-07-29,3
2022-07-30,52
2022-07-31,31
2022-08-01,29
2022-08-02,6
2022-08-03,8
2022-08-04,7
2022-08-05,26
2022-08-06,3
2022-08-07,21
2022-08-08,7
2022-08-09,15
2022-08-10,7
2022-08-11,13
2022-08-12,6
2022-08-13,9
2022-08-14,15
2022-08-15,10
2022-08-16,3
2022-08-17,1
2022-08-18,1
2022-08-19,8
2022-08-20,5
2022-08-21,5
2022-08-22,8
2022-08-23,33
2022-08-24,15
2022-08-25,5
2022-08-26,25
2022-08-27,17
2022-08-28,10
2022-08-29,13
2022-08-30,8
2022-08-31,5
2022-09-01,0
2022-09-02,7
2022-09-03,2
2022-09-04,4
2022-09-05,4
2022-09-06,8
2022-09-07,6
2022-09-08,15
2022-09-09,14
2022-09-10,13
2022-09-11,2
2022-09-12,18
2022-09-13,14
2022-09-14,3
2022-09-15,1
2022-09-16,2
2022-09-17,9
2022-09-18,2
2022-09-19,9
2022-09-20,36
2022-09-21,6
2022-09-22,22
2022-09-23,18
2022-09-24,32
2022-09-25,15
2022-09-26,14
2022-09-27,13
2022-09-28,5
2022-09-29,5
2022-09-30,19
2022-10-01,386
2022-10-02,464
2022-10-03,65
2022-10-04,51
2022-10-05,22
2022-10-06,42
2022-10-07,44
2022-10-08,43
2022-10-09,13
2022-10-10,0
2022-10-11,0
2022-10-12,0
2022-10-13,0
2022-10-14,0
2022-10-15,0
2022-10-16,0
2022-10-17,0
2022-10-18,0
2022-10-19,0
2022-10-20,0
2022-10-21,0
2022-10-22,0
2022-10-23,0
2022-10-24,0
2022-10-25,0
2022-10-26,0
2022-10-27,0
2022-10-28,0
2022-10-29,0
2022-10-30,0
2022-10-31,0
2022-11-01,335
2022-11-02,423
2022-11-03,82
2022-11-04,26
2022-11-05,16
2022-11-06,12
2022-11-07,68
2022-11-08,17
2022-11-09,15
2022-11-10,0
2022-11-11,0
2022-11-12,0
2022-11-13,0
2022-11-14,0
2022-11-15,0
2022-11-16,0
2022-11-17,0
2022-11-18,0
2022-11-19,0
2022-11-20,0
2022-11-21,0
2022-11-22,0
2022-11-23,0
2022-11-24,0
2022-11-25,0
2022-11-26,0
2022-11-27,0
2022-11-28,0
2022-11-29,0
2022-11-30,0
2022-12-01,63
2022-12-02,29
2022-12-03,20
2022-12-04,33
2022-12-05,53
2022-12-06,54
2022-12-07,41
2022-12-08,59
2022-12-09,23
2022-12-10,25
2022-12-11,20
2022-12-12,18
2022-12-13,75
2022-12-14,37
2022-12-15,24
2022-12-16,41
2022-12-17,19
2022-12-18,12
2022-12-19,22
2022-12-20,24
2022-12-21,12
2022-12-22,50
2022-12-23,45
2022-12-24,32
2022-12-25,20
2022-12-26,19
2022-12-27,17
2022-12-28,23
2022-12-29,23
2022-12-30,23
2022-12-31,40
2023-01-01,14
2023-01-02,25
2023-01-03,59
2023-01-04,54
2023-01-05,32
2023-01-06,23
2023-01-07,34
2023-01-08,25
2023-01-09,44
2023-01-10,14
2023-01-11,44
2023-01-12,21
2023-01-13,34
2023-01-14,15
2023-01-15,6
2023-01-16,14
2023-01-17,33
2023-01-18,30
2023-01-19,70
2023-01-20,17
2023-01-21,23
2023-01-22,19
2023-01-23,59
2023-01-24,20
2023-01-25,16
2023-01-26,60
2023-01-27,78
2023-01-28,13
2023-01-29,22
2023-01-30,53
2023-01-31,45
2023-02-01,26
2023-02-02,47
2023-02-03,17
2023-02-04,23
2023-02-05,24
2023-02-06,22
2023-02-07,20
2023-02-08,27
2023-02-09,22
2023-02-10,13
2023-02-11,16
2023-02-12,21
2023-02-13,53
2023-02-14,32
2023-02-15,12
2023-02-16,20
2023-02-17,20
2023-02-18,7
2023-02-19,7
2023-02-20,50
2023-02-21,26
2023-02-22,23
2023-02-23,30
2023-02-24,38
2023-02-25,9
2023-02-26,15
2023-02-27,26
2023-02-28,35
2023-03-01,12
2023-03-02,6
2023-03-03,30
2023-03-04,28
2023-03-05,22
2023-03-06,24
2023-03-07,36
2023-03-08,103
2023-03-09,80
2023-03-10,47
2023-03-11,32
2023-03-12,17
2023-03-13,18
2023-03-14,57
2023-03-15,29
2023-03-16,47
2023-03-17,21
2023-03-18,15
2023-03-19,26
2023-03-20,23
2023-03-21,19
2023-03-22,13
2023-03-23,34
2023-03-24,22
2023-03-25,65
2023-03-26,24
2023-03-27,39
2023-03-28,33
2023-03-29,32
2023-03-30,43
2023-03-31,13
2023-04-01,15
2023-04-02,35
2023-04-03,53
2023-04-04,39
2023-04-05,47
2023-04-06,41
2023-04-07,23
2023-04-08,19
2023-04-09,19
2023-04-10,30
2023-04-11,47
2023-04-12,54
2023-04-13,23
2023-04-14,33
2023-04-15,114
2023-04-16,23
2023-04-17,63
2023-04-18,34
2023-04-19,39
2023-04-20,64
2023-04-21,31
2023-04-22,21
2023-04-23,16
2023-04-24,26
2023-04-25,40
2023-04-26,33
2023-04-27,29
2023-04-28,15
2023-04-29,32
2023-04-30,18
2023-05-01,46
2023-05-02,83
2023-05-03,38
2023-05-04,17
2023-05-05,23
2023-05-06,25
2023-05-07,10
2023-05-08,46
2023-05-09,21
2023-05-10,26
2023-05-11,52
2023-05-12,20
2023-05-13,19
2023-05-14,41
2023-05-15,29
2023-05-16,21
2023-05-17,48
2023-05-18,20
2023-05-19,9
2023-05-20,11
2023-05-21,11
2023-05-22,11
2023-05-23,14
2023-05-24,12
2023-05-25,25
2023-05-26,20
2023-05-27,34
2023-05-28,13
2023-05-29,10
2023-05-30,13
2023-05-31,26
2023-06-01,45
2023-06-02,52
2023-06-03,18
2023-06-04,27
2023-06-05,33
2023-06-06,8
2023-06-07,18
2023-06-08,41
2023-06-09,24
2023-06-10,2
2023-06-11,22
2023-06-12,44
2023-06-13,26
2023-06-14,64
2023-06-15,27
2023-06-16,18
2023-06-17,10
2023-06-18,22
2023-06-19,38
2023-06-20,42
2023-06-21,81
2023-06-22,56
2023-06-23,21
2023-06-24,11
2023-06-25,30
2023-06-26,29
2023-06-27,51
2023-06-28,35
2023-06-29,52
2023-06-30,46
2023-07-01,25
2023-07-02,21
2023-07-03,89
2023-07-04,24
2023-07-05,24
2023-07-06,48
2023-07-07,53
2023-07-08,26
2023-07-09,32
2023-07-10,31
2023-07-11,41
2023-07-12,61
2023-07-13,38
2023-07-14,40
2023-07-15,27
2023-07-16,8
2023-07-17,55
2023-07-18,56
2023-07-19,23
2023-07-20,40
2023-07-21,26
2023-07-22,24
2023-07-23,34
2023-07-24,34
2023-07-25,36
2023-07-26,22
2023-07-27,20
2023-07-28,27
2023-07-29,20
2023-07-30,18
2023-07-31,63
2023-08-01,82
2023-08-02,33
2023-08-03,62
2023-08-04,33
2023-08-05,16
2023-08-06,22
2023-08-07,37
2023-08-08,23
2023-08-09,35
2023-08-10,24
2023-08-11,23
2023-08-12,12
2023-08-13,10
2023-08-14,48
2023-08-15,40
