AuthorID,Author,Date_original,Date,Content,Attachments,Reactions,
1.85E+17,charliecurve,2020/8/18 上午8:33,2020/8/18,I also like the idea of having a deposit fee in some cases. Some pools have too much liquidity so it would be a nice way to collect fees for holders and encourage people to pick pools with less liquidity,,,
1.85E+17,charliecurve,2020/8/18 上午8:34,2020/8/18,Withdrawal fees seem to work well for yearn,,,
1.85E+17,charliecurve,2020/8/18 上午8:34,2020/8/18,Haven't really seen people have issues with it but then again yields have been crazy lately,,,
1.85E+17,charliecurve,2020/8/18 上午8:36,2020/8/18,I think there is good support for a gold pool @Ronchiporc,,,
2.33E+17,ronchiporc,2020/8/18 上午8:36,2020/8/18,thanks,,,
2.33E+17,ronchiporc,2020/8/18 上午8:37,2020/8/18,"yes especially considering one of the most credible gold stablecoins is the one directly insured by the Australian mint, but with its purchasing 'geolocked'.",,,
2.33E+17,ronchiporc,2020/8/18 上午8:37,2020/8/18,"and another one being PAXG that is on kraken, so a pool between these 2 + eventually sXAU would be a good start",,,
1.85E+17,charliecurve,2020/8/18 上午8:39,2020/8/18,Which one is the Australian mint one?,,,
1.85E+17,charliecurve,2020/8/18 上午8:39,2020/8/18,There's the Tether one as well,,,
1.85E+17,charliecurve,2020/8/18 上午8:39,2020/8/18,XAUT maybe?,,,
2.33E+17,ronchiporc,2020/8/18 上午8:39,2020/8/18,PMGT,,,
2.33E+17,ronchiporc,2020/8/18 上午8:39,2020/8/18,https://pmgt.perthmint.com/,,,
1.85E+17,charliecurve,2020/8/18 上午8:39,2020/8/18,PMGT/XAUT/sXAU/PAXG,,,
2.33E+17,ronchiporc,2020/8/18 上午8:40,2020/8/18,"Yes, although i personnally dislike anything related to Tether 😄",,,
1.85E+17,charliecurve,2020/8/18 上午8:40,2020/8/18,You have a contact for them?,,,
2.33E+17,ronchiporc,2020/8/18 上午8:40,2020/8/18,no idea 😄,,,
1.85E+17,charliecurve,2020/8/18 上午8:40,2020/8/18,"Yeah Tether isn't necessarily the most liked, it could get kept out I guess but they have good liquidity",,,
2.33E+17,ronchiporc,2020/8/18 上午8:42,2020/8/18,"but the tokens are directly redeemable for ""gold passes"" which are IOUs of gold insured by the Perth Mint",,,
2.33E+17,ronchiporc,2020/8/18 上午8:42,2020/8/18,"so from my superficial research it makes it the strongest gold token so far, considering its directly insured by a major government mint",,,
6.28E+17,Magnus#7916,2020/8/18 上午8:43,2020/8/18,"Adding new non-stablecoin pools introduces a bit of a ux-challenge to the site, I think. Not that that should stop us of course!",,,
1.85E+17,charliecurve,2020/8/18 上午8:43,2020/8/18,They're still pegged assets or they should be,,,
2.33E+17,ronchiporc,2020/8/18 上午8:44,2020/8/18,PAXG is also directly redeemable for gold acredited by the LBMA and regulated in the US,,,
2.33E+17,ronchiporc,2020/8/18 上午8:45,2020/8/18,but id say something directly insured by a national mint inspires more trust and less intermediaries,,,
6.28E+17,Magnus#7916,2020/8/18 上午8:46,2020/8/18,"One huge drawback of Discord for governance is the lack of threads, btw.. 🙂 Is there a preview somewhere on how the actual governance UI will look?",,,
1.85E+17,charliecurve,2020/8/18 上午8:47,2020/8/18,Discourse will come soon,https://cdn.discordapp.com/attachments/745257323487953036/745262688602423326/Screenshot_69.png,"Curve (5),👍 (4)",
2.33E+17,ronchiporc,2020/8/18 上午8:48,2020/8/18,and one needs 10k of voting power to start a vote right ?,,,
2.33E+17,ronchiporc,2020/8/18 上午8:48,2020/8/18,isnt that gonna be hard to gather at the start considering the pre-allocated tokens cant be used ?,,,
1.85E+17,charliecurve,2020/8/18 上午8:48,2020/8/18,2500 veCRV which is 10k CRV locked for a year I think,,,
1.85E+17,charliecurve,2020/8/18 上午8:48,2020/8/18,Well let's just say it's higher than we thought it would be,,,
2.33E+17,ronchiporc,2020/8/18 上午8:49,2020/8/18,what if 4 people who have in total the required veCRV agree to propose a motion ? would it be somehow possible ?,,,
1.85E+17,charliecurve,2020/8/18 上午8:51,2020/8/18,I guess the requirement could be lowered,,,
2.33E+17,ronchiporc,2020/8/18 上午8:52,2020/8/18,or a way for people who agree to pool their power together in order to meet the requirement,,,
2.33E+17,ronchiporc,2020/8/18 上午8:53,2020/8/18,so this way 4 people with 625 veCRV each could agree and trigger the vote of a motion. but yeah it probably complicates things.,,,
6.28E+17,Magnus#7916,2020/8/18 上午8:58,2020/8/18,I think it's good to start with a threshold. If you have a good idea it should be easy to convince a holder to add the proposal on your behalf.,,,
6.28E+17,Magnus#7916,2020/8/18 上午9:13,2020/8/18,"So does the DAO at inception have a economically compensated team working for it?  The reason I'm asking is that we will now have a number propositions popping up. But somebody needs to check the feasibility and viability of those propositions, implement them, document them, support them, audit them, etc. How much of this is covered by the existing team, for how long, and are you, uh, suitably motivated to do so? 🙂",,🧙 (1),
1.85E+17,charliecurve,2020/8/18 上午9:27,2020/8/18,"Yes, full dev is on and will be for the next few years",,👍 (2),
6.28E+17,Magnus#7916,2020/8/18 上午9:36,2020/8/18,It's gotta be weird to be a dev governed by a DAO. It's like a having a product owner you can't argue with.,,,
6.28E+17,Magnus#7916,2020/8/18 上午9:36,2020/8/18,"Oh, wait, just like normal then.",,😂 (4),
7.25E+17,cnschroter#9701,2020/8/18 上午11:53,2020/8/18,@Charlie would it be possible to create a pool to do arbitrage with the LPs of that pool ?,,,
2.36E+17,jintao,2020/8/18 下午12:15,2020/8/18,how does BALwork w/ CRV guage?,,,
6.65E+17,Zky#1153,2020/8/18 下午12:24,2020/8/18,"> I like buy and burn
@Charlie Why not buy and reward to veCRV holder to incentive locking CRV in the dao for voting (or any other incentive) ? Kyber was buy&burn and have moving to a system to incentive voting and participation (Same for AAVE which also moving from buy&burn).",,,
1.68E+17,Slideman#1845,2020/8/18 下午12:53,2020/8/18,"Can I buy the CRV token on a DEX, then stake it on the DAO pools?",,,
1.68E+17,Slideman#1845,2020/8/18 下午12:53,2020/8/18,(Sorry new to all of this),,,
6.65E+17,Zky#1153,2020/8/18 下午12:56,2020/8/18,"DAO currently on testnet, and with the current valuation, i wouldn't buy it. Earn it",,,
6.65E+17,Zky#1153,2020/8/18 下午12:57,2020/8/18,Or wait few weeks for better price entry.,,,
1.68E+17,Slideman#1845,2020/8/18 下午12:58,2020/8/18,"Cool, related to that, I had some money staked in sUSD for a few months now. It says that the CRV LP reward is 110%- does this mean I earn 110% of my stake in CRV tokens, or is that the reward for staking CRV in that pool?",,,
6.65E+17,Zky#1153,2020/8/18 下午12:59,2020/8/18,"You earn on your sUSD in the pool (110% APY for now, but it decrease with CRV price and Total liquidty)",,,
