AuthorID,Author,Date_original,Date,Content,Attachments,Reactions
9.08563E+17,Forum,2021/11/14 上午5:28,2021/11/14,,,
9.08563E+17,Forum,2021/11/14 下午4:39,2021/11/14,,,
9.08563E+17,Forum,2021/11/15 上午12:56,2021/11/15,,,"💗 (10),👍 (11)"
9.08563E+17,Forum,2021/11/15 下午5:17,2021/11/15,,,
9.08563E+17,Forum,2021/11/17 下午12:09,2021/11/17,,,
9.08563E+17,Forum,2021/11/17 下午12:22,2021/11/17,,,
9.08563E+17,Forum,2021/11/21 下午7:22,2021/11/21,,,
9.08563E+17,Forum,2021/11/22 下午2:57,2021/11/22,,,
9.08563E+17,Forum,2021/11/23 上午5:02,2021/11/23,,,
1.94433E+17,nickjohnson,2021/11/23 下午8:17,2021/11/23,"Delegates, voting is open on our first proposal: https://snapshot.org/#/ens.eth/proposal/0xfe73d1b06675d6bc1cc074f440c347274d13c55b513ea02ec950efe639adbbb0",,🔥 (8)
9.08563E+17,Forum,2021/11/25 下午9:23,2021/11/25,,,
9.08563E+17,Forum,2021/11/27 上午4:46,2021/11/27,,,
1.94433E+17,nickjohnson,2021/11/29 下午4:52,2021/11/29,I've put together a PR with a contract that can be used for the 'correction' airdrop if the DAO approves it: https://github.com/ensdomains/governance/pull/9,,
9.08563E+17,Forum,2021/11/29 下午8:53,2021/11/29,,,
5.6969E+17,jeeeeeves,2021/12/2 下午2:50,2021/12/2 ,"A post I made two weeks on the ""making redelegation free"" thread was marked as off-topic. Was that action the result of bad actors? My post was directly related to the topic at hand.

https://discuss.ens.domains/t/making-redelegation-free/5895/6",,
1.94433E+17,nickjohnson,2021/12/2 下午8:18,2021/12/2 ,I saw that in the queue; the forum automatically accepted the flag. I restored it earlier today.,,heart (2)
9.08563E+17,Forum,2021/12/3 下午5:46,2021/12/3 ,,,
8.98055E+17,zadok7.eth,2021/12/4 下午11:58,2021/12/4 ,I like what you're trying to tackle. I posted a proposal in Temp Check that's related so issues revolving around Incentivizing DAO participation https://discuss.ens.domains/t/proposal-for-implementing-an-open-transparent-contribution-graph-reward-mechanism-for-dao-contributors/8012,,
9.08563E+17,Forum,2021/12/5 上午7:28,2021/12/5 ,,,
9.08563E+17,Forum,2021/12/6 上午9:54,2021/12/6 ,,,
9.08563E+17,Forum,2021/12/6 下午12:39,2021/12/6 ,,,🦾 (4)
3.4684E+17,validator.eth,2021/12/6 下午4:59,2021/12/6 ,https://twitter.com/nicksdjohnson/status/1467971252493058049?s=20,,"ensfairy (3),�?(4)"
